Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
231,Loris Karius\Loris-Karius,de GER,GK,Union Berlin,27,1993,3.2,58,95,61.1,2118,1579,7,7,100.0,20,20,100.0,31,68,45.6,0,0.0,0.0,0,4,0,0,0,Matches
232,Noah Katterbach\Noah-Katterbach,de GER,DF,Köln,19,2001,12.3,515,669,77.0,9114,4108,233,265,87.9,218,268,81.3,52,106,49.1,0,1.2,-1.2,12,38,11,7,54,Matches
233,Yannik Keitel\Yannik-Keitel,de GER,MF,Freiburg,20,2000,5.5,159,197,80.7,2820,659,75,93,80.6,64,73,87.7,17,22,77.3,0,0.2,-0.2,3,11,3,0,19,Matches
234,Marc-Oliver Kempf\Marc-Oliver-Kempf,de GER,DF,Stuttgart,25,1995,30.3,1542,1866,82.6,31928,12272,525,577,91.0,758,859,88.2,242,387,62.5,1,0.4,+0.6,11,167,21,2,162,Matches
235,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,26,1994,20.2,494,671,73.6,8873,2189,209,257,81.3,207,266,77.8,58,105,55.2,0,0.2,-0.2,7,28,12,3,43,Matches
236,Sami Khedira\Sami-Khedira,de GER,MF,Hertha BSC,33,1987,4.4,184,222,82.9,3476,737,64,76,84.2,94,107,87.9,22,32,68.8,1,0.5,+0.5,3,6,2,0,15,Matches
237,Luca Kilian\Luca-Kilian,de GER,DF,Mainz 05,20,1999,4.2,193,222,86.9,4430,1057,42,45,93.3,111,119,93.3,38,53,71.7,0,0.0,0.0,1,6,1,0,10,Matches
238,Joshua Kimmich\Joshua-Kimmich,de GER,MF,Bayern Munich,25,1995,24.4,1790,2131,84.0,39402,11583,590,646,91.3,799,881,90.7,375,561,66.8,10,6.6,+3.4,67,214,58,8,230,Matches
239,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,27,1993,2.5,44,64,68.8,684,215,19,26,73.1,23,28,82.1,1,6,16.7,0,0.0,0.0,0,4,1,0,5,Matches
240,Felix Klaus\Felix-Klaus,de GER,DFMF,Wolfsburg,27,1992,1.5,58,72,80.6,1043,197,27,32,84.4,21,25,84.0,8,10,80.0,0,0.0,0.0,0,2,0,0,4,Matches
241,Klauss\Klauss,br BRA,FW,Hoffenheim,23,1997,0.6,18,22,81.8,245,100,13,14,92.9,4,5,80.0,1,2,50.0,0,0.3,-0.3,2,1,2,0,4,Matches
242,Philipp Klement\Philipp-Klement,de GER,MFFW,Stuttgart,27,1992,4.7,285,346,82.4,5621,1697,118,126,93.7,114,126,90.5,47,80,58.8,2,1.7,+0.3,17,27,9,1,21,Matches
243,Mateo Klimowicz\Mateo-Klimowicz,de GER,FWMF,Stuttgart,20,2000,13.3,253,336,75.3,4126,958,137,172,79.7,79,99,79.8,27,42,64.3,1,1.2,-0.2,13,21,11,1,28,Matches
244,Fabian Klos\Fabian-Klos,de GER,FW,Arminia,32,1987,30.1,450,798,56.4,7436,1943,237,372,63.7,156,286,54.5,43,83,51.8,2,3.5,-1.5,28,49,17,2,79,Matches
245,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,24,1996,16.1,1019,1153,88.4,19616,6154,368,401,91.8,522,563,92.7,121,177,68.4,0,0.5,-0.5,4,97,10,1,79,Matches
246,Justin Kluivert\Justin-Kluivert,nl NED,FW,RB Leipzig,21,1999,9.0,173,250,69.2,2550,517,108,138,78.3,47,67,70.1,13,28,46.4,1,1.2,-0.2,12,9,9,4,14,Matches
247,Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,24,1996,11.0,408,531,76.8,8599,2890,112,125,89.6,230,263,87.5,63,123,51.2,0,0.3,-0.3,3,26,6,3,28,Matches
248,Ansgar Knauff\Ansgar-Knauff,de GER,FWMF,Dortmund,18,2002,0.8,19,25,76.0,360,139,6,8,75.0,11,14,78.6,1,2,50.0,1,1.0,0.0,4,0,2,2,2,Matches
249,Robin Knoche\Robin-Knoche,de GER,DF,Union Berlin,28,1992,33.8,1746,2016,86.6,41725,11576,369,408,90.4,912,991,92.0,453,592,76.5,0,0.3,-0.3,3,75,2,0,82,Matches
250,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Stuttgart,22,1997,33.0,998,1216,82.1,22731,13877,356,357,99.7,384,385,99.7,221,435,50.8,0,0.0,0.0,1,12,1,0,1,Matches
251,Dominik Kohr\Dominik-Kohr,de GER,MF,Mainz 05,26,1994,14.1,394,517,76.2,6743,2254,173,211,82.0,162,206,78.6,43,70,61.4,1,1.2,-0.2,6,53,6,0,51,Matches
252,Dominik Kohr\Dominik-Kohr,de GER,MFFW,Eint Frankfurt,26,1994,2.9,133,173,76.9,2317,686,59,71,83.1,65,83,78.3,7,13,53.8,0,0.0,0.0,1,20,1,0,23,Matches
253,Sead Kolašinac\Sead-Kolasinac,ba BIH,DFMF,Schalke 04,27,1993,15.8,587,739,79.4,10011,3547,261,303,86.1,276,329,83.9,37,75,49.3,1,1.6,-0.6,12,32,9,1,44,Matches
254,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,21,1999,7.7,472,546,86.4,9862,2611,104,116,89.7,301,326,92.3,64,98,65.3,0,0.0,0.0,0,30,0,0,22,Matches
255,Filip Kostić\Filip-Kostic,rs SRB,DF,Eint Frankfurt,27,1992,28.2,999,1593,62.7,19733,8002,391,506,77.3,424,614,69.1,164,363,45.2,14,11.5,+2.5,90,59,69,51,137,Matches
