Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
291,Javi Martínez\Javi-Martinez,es ESP,DFMF,Bayern Munich,31,1988,5.2,9,5,4,3,2,4,5,80.0,1,60,24,40.0,20,28,12,13,4,0,9,11,20,27,0,Matches
292,Josep Martinez\Josep-Martinez,es ESP,GK,RB Leipzig,22,1998,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
293,Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,27,1993,19.6,42,21,15,20,7,14,51,27.5,37,330,111,33.6,125,170,35,47,13,0,34,36,78,40,1,Matches
294,Roberto Massimo\Roberto-Massimo,de GER,DFFW,Stuttgart,19,2000,8.4,21,14,13,7,1,10,24,41.7,14,160,49,30.6,64,58,38,15,2,0,13,12,33,11,0,Matches
295,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,23,1997,11.1,5,5,2,1,2,0,3,0.0,3,107,32,29.9,8,50,49,7,1,0,6,1,6,7,0,Matches
296,Rabbi Matondo\Rabbi-Matondo,wal WAL,FWMF,Schalke 04,19,2000,2.4,4,3,2,2,0,2,4,50.0,2,63,17,27.0,18,24,21,5,1,0,4,2,6,0,0,Matches
297,Henning Matriciani\Henning-Matriciani,de GER,DF,Schalke 04,20,2000,0.3,3,2,2,1,0,1,2,50.0,1,4,2,50.0,3,1,0,2,0,0,2,0,3,0,0,Matches
298,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Stuttgart,22,1997,16.3,42,22,32,7,3,20,50,40.0,30,130,36,27.7,80,43,7,40,13,0,27,41,83,96,0,Matches
299,Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Bayern Munich,31,1989,9.1,9,6,1,6,2,2,6,33.3,4,128,38,29.7,7,64,57,3,0,0,3,3,12,7,0,Matches
300,Kevin Mbabu\Kevin-Mbabu,ch SUI,DF,Wolfsburg,25,1995,18.2,53,31,28,20,5,19,38,50.0,19,298,107,35.9,121,115,62,51,8,0,43,23,76,86,0,Matches
301,Jean-Manuel Mbom\Jean-Manuel-Mbom,de GER,MFDF,Werder Bremen,20,2000,12.9,25,15,16,7,2,12,35,34.3,23,276,79,28.6,105,123,48,27,6,0,21,14,39,29,0,Matches
302,Nathan de Medina\Nathan-de-Medina,be BEL,DF,Arminia,22,1997,7.1,24,17,13,8,3,7,11,63.6,4,145,51,35.2,81,50,14,21,1,0,20,8,32,27,0,Matches
303,Joshua Mees\Joshua-Mees,de GER,FW,Union Berlin,24,1996,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
304,Admir Mehmedi\Admir-Mehmedi,ch SUI,MFFW,Wolfsburg,29,1991,9.1,18,12,5,6,7,6,18,33.3,12,211,79,37.4,39,106,66,10,2,0,8,6,24,3,0,Matches
305,Hamza Mendyl\Hamza-Mendyl,ma MAR,FW,Schalke 04,22,1997,1.1,4,1,3,0,1,2,4,50.0,2,33,7,21.2,9,16,8,1,0,0,1,1,5,1,0,Matches
