Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
460,Japhet Tanganga\Japhet-Tanganga,eng ENG,DF,Tottenham,21,1999,5.4,2,0,0,11,7,0,4,2,4,0,0,0,50,11,9,55.0,Matches
461,Matt Targett\Matt-Targett,eng ENG,DF,Aston Villa,24,1995,37.8,7,0,0,28,23,0,98,47,57,0,1,0,355,84,54,60.9,Matches
462,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,27,1992,36.0,6,0,0,27,29,3,5,57,42,0,0,0,358,184,62,74.8,Matches
463,Percy Tau\Percy-Tau,za RSA,FWMF,Brighton,26,1994,1.1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,5,0.0,Matches
464,Sidnei Tavares\Sidnei-Tavares,pt POR,MF,Leicester City,18,2001,0.9,0,0,0,1,3,0,0,1,0,0,0,0,4,1,1,50.0,Matches
465,Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,26,1993,27.0,1,0,0,9,34,0,76,28,25,0,0,0,250,46,26,63.9,Matches
466,Neil Taylor\Neil-Taylor,wal WAL,DF,Aston Villa,31,1989,0.2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,Matches
467,Allan Tchaptchet\Allan-Tchaptchet,fr FRA,DF,Southampton,18,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
468,Nathan Tella\Nathan-Tella,eng ENG,FWMF,Southampton,21,1999,8.3,2,0,0,16,24,5,12,9,8,1,0,0,58,3,18,14.3,Matches
469,Alex Telles\Alex-Telles,br BRA,DF,Manchester Utd,27,1992,7.7,0,0,0,4,4,1,27,12,6,0,0,0,59,11,10,52.4,Matches
470,Kenny Tete\Kenny-Tete,nl NED,DF,Fulham,24,1995,16.5,3,0,0,29,18,2,61,29,29,0,1,0,151,27,24,52.9,Matches
471,William Thomas Fish\William-Thomas-Fish,eng ENG,DF,Manchester Utd,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
472,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,19,2001,10.8,2,0,0,10,16,0,8,16,8,1,0,0,82,18,27,40.0,Matches
473,Youri Tielemans\Youri-Tielemans,be BEL,MF,Leicester City,23,1997,37.3,6,0,0,37,55,0,45,36,56,0,0,0,412,37,35,51.4,Matches
474,Kieran Tierney\Kieran-Tierney,sco SCO,DF,Arsenal,23,1997,25.5,4,0,0,14,18,0,101,20,17,1,0,0,211,19,45,29.7,Matches
475,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,31,1989,6.1,1,0,0,3,1,0,0,5,4,0,1,0,41,14,10,58.3,Matches
476,Fikayo Tomori\Fikayo-Tomori,eng ENG,DF,Chelsea,22,1997,0.5,0,0,0,1,0,0,0,1,2,0,0,0,4,0,0,,Matches
477,Ferrán Torres\Ferran-Torres,es ESP,FWMF,Manchester City,20,2000,14.5,1,0,0,16,17,5,28,7,8,1,0,0,66,13,23,36.1,Matches
478,Cenk Tosun\Cenk-Tosun,tr TUR,FW,Everton,29,1991,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
479,Andros Townsend\Andros-Townsend,eng ENG,MFFW,Crystal Palace,29,1991,25.1,0,0,0,28,54,2,89,48,36,0,0,0,203,5,24,17.2,Matches
480,Conor Townsend\Conor-Townsend,eng ENG,DF,West Brom,27,1993,24.8,0,0,0,15,25,2,52,40,32,0,2,0,187,45,35,56.3,Matches
481,Adama Traoré\Adama-Traore,es ESP,FW,Wolves,24,1996,29.4,4,0,0,47,86,7,119,11,23,1,0,0,163,78,75,51.0,Matches
482,Bertrand Traoré\Bertrand-Traore,bf BFA,FW,Aston Villa,24,1995,25.7,1,0,0,31,40,7,54,23,9,1,0,0,152,31,37,45.6,Matches
483,Trézéguet\Trezeguet,eg EGY,FW,Aston Villa,25,1994,13.0,0,0,0,39,20,4,24,11,18,1,0,0,87,29,45,39.2,Matches
484,Leandro Trossard\Leandro-Trossard,be BEL,FWMF,Brighton,25,1994,29.0,2,0,0,28,32,6,64,24,20,0,0,0,202,6,28,17.6,Matches
485,Kostas Tsimikas\Kostas-Tsimikas,gr GRE,DF,Liverpool,24,1996,0.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,Matches
486,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,22,1997,4.5,2,0,0,6,3,0,0,4,5,0,0,1,45,6,7,46.2,Matches
487,Cengiz Ünder\Cengiz-Under,tr TUR,MFFW,Leicester City,23,1997,3.1,0,0,0,1,3,2,10,3,3,0,0,0,22,0,3,0.0,Matches
488,Yan Valery\Yan-Valery,fr FRA,DFMF,Southampton,21,1999,1.1,0,0,0,1,1,0,2,3,2,0,0,0,13,1,3,25.0,Matches
489,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,33,1987,31.6,1,0,0,26,25,36,24,8,8,5,0,0,83,56,68,45.2,Matches
490,Joël Veltman\Joel-Veltman,nl NED,DF,Brighton,28,1992,25.3,3,0,0,35,39,0,52,35,41,0,0,0,274,48,35,57.8,Matches
491,Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,27,1992,28.6,3,1,0,19,11,0,2,37,37,1,0,0,309,108,46,70.1,Matches
492,Rúben Vinagre\Ruben-Vinagre,pt POR,DF,Wolves,21,1999,1.9,0,0,0,2,0,0,4,1,3,0,0,0,19,3,3,50.0,Matches
493,Carlos Vinícius\Carlos-Vinicius,br BRA,FW,Tottenham,25,1995,3.4,2,0,0,11,3,2,2,1,0,0,0,0,10,11,20,35.5,Matches
494,João Virgínia\Joao-Virginia,pt POR,GK,Everton,20,1999,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
495,Vitinha\Vitinha,pt POR,MF,Wolves,20,2000,5.8,0,0,0,8,5,1,3,4,7,0,0,0,36,0,2,0.0,Matches
496,Jake Vokins\Jake-Vokins,eng ENG,DF,Southampton,20,2000,0.7,0,0,0,2,0,1,2,0,0,0,0,0,2,0,0,,Matches
497,Matěj Vydra\Matej-Vydra,cz CZE,FW,Burnley,28,1992,15.2,0,0,0,6,13,12,6,5,6,0,0,0,49,31,97,24.2,Matches
498,Theo Walcott\Theo-Walcott,eng ENG,MFFW,Southampton,31,1989,18.0,0,0,0,12,30,8,34,9,18,0,0,0,115,8,29,21.6,Matches
499,Theo Walcott\Theo-Walcott,eng ENG,FW,Everton,31,1989,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
500,Kyle Walker\Kyle-Walker,eng ENG,DF,Manchester City,30,1990,21.6,1,0,0,26,11,1,24,15,27,0,3,0,187,28,14,66.7,Matches
501,Kyle Walker-Peters\Kyle-Walker-Peters,eng ENG,DF,Southampton,23,1997,29.4,4,0,0,33,42,7,22,40,43,1,1,0,275,20,39,33.9,Matches
502,Aaron Wan-Bissaka\Aaron-Wan-Bissaka,eng ENG,DF,Manchester Utd,22,1997,34.0,3,0,0,31,14,1,57,66,52,0,0,0,267,46,35,56.8,Matches
503,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,30,1989,25.1,5,0,0,32,12,1,15,52,26,0,1,0,228,59,42,58.4,Matches
504,James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,25,1994,38.0,5,0,0,45,27,0,52,44,57,0,1,0,483,49,64,43.4,Matches
505,Ollie Watkins\Ollie-Watkins,eng ENG,FW,Aston Villa,24,1995,37.0,4,1,1,49,49,30,36,12,22,0,0,0,121,139,178,43.8,Matches
506,Caleb Watts\Caleb-Watts,au AUS,MFFW,Southampton,18,2002,0.4,1,0,0,0,1,0,1,0,1,0,0,0,2,1,3,25.0,Matches
507,Adam Webster\Adam-Webster,eng ENG,DF,Brighton,25,1995,28.8,4,0,0,24,16,1,2,40,21,0,0,0,320,90,50,64.3,Matches
