Rk,Player,Pos,Squad,MP,Min,90s,xG,xA,Tkl,Blocks,Tkl+Int,Clr,Cmp%,KP,SoT,Save%,Price
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,36,3031,33.7,2.8,8.1,58,44,107,71,75.3,73,11,0,0
16,Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,36,2461,27.3,1.5,3.1,82,46,118,61,80.1,27,8,0,0
17,Alisson\Alisson,GK,Liverpool,33,2970,33,0.1,0,0,0,0,1,85.1,0,1,74.8,0
18,Allan\Allan,MF,Everton,24,2051,22.8,0.2,0.9,75,39,98,30,85.8,16,2,0,0
19,Dele Alli\Dele-Alli,MF,Tottenham,15,620,6.9,1.4,0.9,20,13,30,4,80.1,8,4,0,0
20,Miguel AlmirÃ³n\Miguel-Almiron,MFFW,Newcastle Utd,34,2429,27,3.2,2.8,48,36,75,24,81.1,28,13,0,0
21,Marcos Alonso\Marcos-Alonso,DF,Chelsea,13,960,10.7,1.7,1.1,13,22,24,37,81.6,12,9,0,0
22,Steven Alzate\Steven-Alzate,MFDF,Brighton,15,896,10,0.7,0.5,19,16,26,9,89.5,10,2,0,0
23,Daniel Amartey\Daniel-Amartey,DF,Leicester City,12,722,8,0.4,0,12,19,24,42,85.8,0,1,0,0
24,Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,25,2089,23.2,0.3,0.9,62,48,101,120,80.5,10,2,0,0
25,Joachim Andersen\Joachim-Andersen,DF,Fulham,31,2730,30.3,1.1,0.5,41,35,92,233,83.4,9,3,0,0
26,Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,1,4,0,0,0,0,0,0,0,100,0,0,0,0
27,Felipe Anderson\Felipe-Anderson,FWMF,West Ham,2,3,0,0,0,1,0,1,0,66.7,0,0,0,0
28,Michail Antonio\Michail-Antonio,FW,West Ham,26,1974,21.9,11.4,2.3,14,25,23,8,66.5,23,23,0,0
29,Alphonse Areola\Alphonse-Areola,GK,Fulham,36,3240,36,0,0,1,0,1,0,73.6,0,0,73.1,0
30,Stuart Armstrong\Stuart-Armstrong,MF,Southampton,33,2764,30.7,3,2.7,70,31,100,21,79.7,34,12,0,0
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,7,585,6.5,0,0,0,0,0,0,81.5,0,0,68.2,0
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,29,2332,25.9,10.6,2.8,17,26,23,14,75,22,19,0,0
33,Serge Aurier\Serge-Aurier,DF,Tottenham,19,1605,17.8,1.4,1.9,73,43,97,52,80.6,12,6,0,0
34,Charlie Austin\Charlie-Austin,FW,West Brom,5,138,1.5,0.2,0,4,0,6,3,73.5,0,0,0,0
35,Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,33,2096,23.3,2.4,0.7,52,29,81,12,78.6,12,11,0,0
36,Luke Ayling\Luke-Ayling,DF,Leeds United,38,3399,37.8,1.4,2.6,114,81,172,111,79.3,25,6,0,0
37,CÃ©sar Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,26,2188,24.3,0.8,2.6,52,37,89,97,87.5,26,4,0,0
38,Eric Bailly\Eric-Bailly,DF,Manchester Utd,12,916,10.2,0.1,0,9,17,31,51,90.3,0,0,0,0
39,FabiÃ¡n Balbuena\Fabian-Balbuena,DF,West Ham,14,1198,13.3,0.6,0,24,25,38,89,76.8,0,2,0,0
40,George Baldock\George-Baldock,DF,Sheffield Utd,32,2787,31,1.1,1.7,55,46,90,82,78.5,17,2,0,0
41,Gareth Bale\Gareth-Bale,FW,Tottenham,20,920,10.2,5.3,1.9,14,16,23,17,69.6,20,19,0,0
42,Patrick Bamford\Patrick-Bamford,FW,Leeds United,38,3050,33.9,17.3,4.1,26,16,39,35,76.3,29,45,0,0
43,Phil Bardsley\Phil-Bardsley,DF,Burnley,4,274,3,0.1,0,6,4,9,14,70.3,0,0,0,0
44,Ross Barkley\Ross-Barkley,MF,Aston Villa,24,1531,17,3.2,3.6,6,19,11,8,81,39,11,0,0
45,Ross Barkley\Ross-Barkley,MF,Chelsea,2,42,0.5,0,0.1,0,0,0,0,84.6,1,1,0,0
46,Ashley Barnes\Ashley-Barnes,FW,Burnley,22,1331,14.8,5.1,0.7,16,15,21,9,63.5,13,12,0,0
47,Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,25,1945,21.6,6.2,1.5,22,24,38,13,74.8,25,25,0,0
48,Kyle Bartley\Kyle-Bartley,DF,West Brom,30,2584,28.7,2.1,0.2,26,74,57,202,77.9,4,5,0,0
49,Chris Basham\Chris-Basham,DFMF,Sheffield Utd,31,2576,28.6,0.8,0.8,76,49,121,124,81.4,10,1,0,0
50,Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,18,728,8.1,1.4,1.4,3,10,5,5,70.2,7,6,0,0
51,Jan Bednarek\Jan-Bednarek,DF,Southampton,36,3100,34.4,1,0.3,48,59,126,216,84.6,5,5,0,0
52,Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,19,524,5.8,0.3,1,12,11,19,9,84.2,3,1,0,0
53,HÃ©ctor BellerÃ­n\Hector-Bellerin,DF,Arsenal,25,2089,23.2,0.8,2.4,34,50,47,41,82.9,22,5,0,0
54,SaÃ¯d Benrahma\Said-Benrahma,FWMF,West Ham,30,1391,15.5,2.3,4.4,31,15,44,10,78,27,11,0,0
55,Josh Benson\Josh-Benson,MF,Burnley,6,264,2.9,0.2,0,8,3,9,2,72.9,0,0,0,0
56,Christian Benteke\Christian-Benteke,FW,Crystal Palace,30,1816,20.2,8.1,1,13,17,18,38,63.8,15,33,0,0
57,Gaetano Berardi\Gaetano-Berardi,DF,Leeds United,2,113,1.3,0,0,3,2,5,5,82.1,0,0,0,0
58,JÃ³hann Berg GuÃ°mundsson\Johann-Berg-Gudmundsson,MF,Burnley,22,1363,15.1,1.7,0.5,19,19,36,14,75.4,10,8,0,0
59,Sander Berge\Sander-Berge,MF,Sheffield Utd,15,1120,12.4,1.2,1.2,21,20,24,19,81.9,12,1,0,0
